"Date","Time","Location","Name","Description"
"Thursday Januari 19 2017","12 : 00 pm","101 Internat Studi Build – 910 S Fifth St Champaign","CLACS Summer Graduat Research Fellowship Informat Session",""
"Thursday Januari 19 2017","3 : 00 5 : 00 pm","Gender Women Studi seminar room 1205 W Nevada St Urbana","Digit Safeti Privaci Workshop","Digit Safeti Privaci Workshop Come learn stay safe onlin"
"Thursday Januari 19 2017","3 : 30 5 : 00 pm","7 DKH","Loser Go Jail : Congression Election Union Officer Prosecut","Loser Go Jail : Congression Election Union Ocer Prosecut"
"Thursday Januari 19 2017","4 : 00 pm","217 Noyl Lab","Professor Brandi Cossairt Univers Washington From Multimetal Catalyst Nanoscal Phosphid : Build Complex Inorgan Molecul Atom Level Precis",""
"Thursday Januari 19 2017","4 : 00 pm","Charl G Miller Auditorium B102 Chemic & Life Scienc Laboratori 601 S Goodwin Avenu Urbana","Microbiolog Seminar : Dr John Demian Sauer Univers Wisconsin Madison Macrophag Listeria : battl cytosol",""
"Thursday Januari 19 2017","7 : 00 pm","The Chapel St John Divin 1011 S Wright Street Champaign","The Play Adam","The Met Cloister Program Mediev Studi & Illinoi Theatr present world premier The Play Adam mediev comic drama new English vers translat Carol Syme direct Kyle A Thoma music direct Drew Minter ( Georg A Miller Visit Professor ) Begin Garden Eden end promis redempt Adam holiday play age age The fulli stage product new translat premier The Met Cloister Decemb 17th 18th 2016 beauti frame aps chapel San Martín Fuentidueña accompani ravish vocal instrument music contemporari play In Januari product origin cast Illinoi actor New york musician restag love neo Gothic Chapel St John Divin campus Univers Illinoi Urbana Champaign Compos colloqui rhyme vers passag Latin plainsong The Anglo Norman Play Adam oldest European play vernacular : case earli dialect languag know French Update stori humanity’ fall redempt comic poignant address timeless issu : ambit desir sibl rivalri social mobil uncertainti polit cultur upheav The origin text new vers translat play access More inform product avail All perform free open public seat limit Door open 30 minut prior perform Question request reserv seat Casey Griffin caseyjg2 @ illinois.edu This product made possibl generous support Colleg Liber Arts Scienc ; Colleg Fine Appli Arts ; School Literatur Cultur Linguist ; School Music ; Unit Critic Interpret Theori ; Depart French Italian Religion Classic Histori"
"Thursday Januari 19 2017","7 : 00 9 : 30 pm","Independ Media Center 202 S Broadway Ave Urbana","Anti fascist Art Show & Potluck","Anti fascist Art Show & Potluck Combat fascist propaganda art creativ"
"Thursday Januari 19 2017","7 : 00 pm","The Chapel St John Divin ( 1011 S Wright Street Champaign )","The Play Adam : The Cloister ’ Product Restag Illinoi","The Met Cloister Program Mediev Studi & Illinoi Theatr present world premier The Play Adam mediev comic drama new English vers translat Carol Syme direct Kyle A Thoma music direct Drew Minter ( Georg A Miller Visit Professor ) Begin Garden Eden end promis redempt Adam holiday play age age The fulli stage product new translat premier The Met Cloister Decemb 17th 18th 2016 beauti frame aps chapel San Martín Fuentidueña accompani ravish vocal instrument music contemporari play In Januari product origin cast Illinoi actor New york musician restag love neo Gothic Chapel St John Divin campus Univers Illinoi Urbana Champaign Compos colloqui rhyme vers passag Latin plainsong The Anglo Norman Play Adam oldest European play vernacular : case earli dialect languag know French Update stori humanity’ fall redempt comic poignant address timeless issu : ambit desir sibl rivalri social mobil uncertainti polit cultur upheav The origin text new vers translat play access More inform product avail All perform FREE open public seat limit Door open 30 minut prior perform Question request reserv seat Casey Griffin caseyjg2 @ illinois.edu"
"Thursday Januari 19 2017","8 : 00 pm","223 Templ Buell Hall 611 E Lorado Taft Dr Champaign","Film Seri : Eye Prize episod 3 & 4 Ain't Scare your Jail & No Easi Walk","Film Seri : Eye Prize episod 3 & 4 Ain't Scare your Jail & No Easi Walk"
"Friday Januari 20 2017","9 : 00 1 : 00 pm","Third floor lectur hall Levi Faculti Center ( 919 West Illinoi Street Urbana IL )","Design Protest","Design Protest Champaign Urbana take place Januari 20 part larger nation collabor bring activist architect planner communiti member turn onlin convers social justic design live local action Envision sort nation brainstorm session creativ place base intervent drive social chang workshop organ academ privat public sphere goal inspir design communiti take collect stand injustic The CU event take place Levi Faculti Center 9am 1pm For inform contact Angela King aking06 @ illinois.edu larger platform atwww.designjusticeplatform.com"
"Friday Januari 20 2017","9 : 00 1 : 00 pm","Third floor lectur hall Levi Faculti Center ( 919 West Illinoi Street Urbana IL )","Design Protest","Design Protest Champaign Urbana take place Januari 20 part larger nation collabor bring activist architect planner communiti member turn onlin convers social justic design live local action Envision sort nation brainstorm session creativ place base intervent drive social chang workshop organ academ privat public sphere goal inspir design communiti take collect stand injustic The CU event take place Levi Faculti Center 9am 1pm For inform contact Angela King aking06 @ illinois.edu larger platform atwww.designjusticeplatform.com"
"Friday Januari 20 2017","9 : 00 1 : 00 pm","Third Floor Lectur Hall Levi Faculti Center 919 W Illinoi St Urbana","Design Protest Event","Design Protest Event"
"Friday Januari 20 2017","10 : 00 1 : 00 pm","Asian American Studi Confer Room 1208 W Nevada St Urbana","Polit Parti : Letter Write Presid Elect","Polit Parti : Letter Write Presid Elect Come polit groov ; inspir ; write letter"
"Friday Januari 20 2017","10 : 00 11 : 00","3115 Lincoln Hall","Welcom Back Donut & Coffe Hour","Reconnect Sociolog Faculti student friend"
